title,url,time_added,cursor,tags,status
How elite education promotes diversity without difference | Aeon Essays,https://aeon.co/essays/how-elite-education-promotes-diversity-without-difference,1550275798,3405556347,,archive
Adapting lenses to Micro Four Thirds - Beginner's Guide and TIPS — Micro Fo,https://www.microfournerds.com/blog/adaptedlensesm43,1626614495,3405556349,,archive
AI Safety Needs Social Scientists,https://distill.pub/2019/safety-needs-social-scientists/,1550706875,3405556353,explorables|papers,archive
The concept of probability is not as simple as you think | Aeon Ideas,https://aeon.co/ideas/the-concept-of-probability-is-not-as-simple-as-you-think,1551564308,3405556356,,archive
Activation Atlas,https://distill.pub/2019/activation-atlas/,1552514305,3405556363,explorables|papers,unread
"Like the chemical process of osmosis, migration is unstoppable | Aeon Ideas",https://aeon.co/ideas/like-the-chemical-process-of-osmosis-migration-is-unstoppable,1552514245,3405556368,,archive
The Bitter Lesson,http://www.incompleteideas.net/IncIdeas/BitterLesson.html,1555439256,3405556371,,unread
Visualizing memorization in RNNs,https://distill.pub/2019/memorization-in-rnns/,1553546965,3405556378,explorables|papers,unread
"How much can we afford to forget, if we train machines to remember? | Aeon ",https://aeon.co/ideas/how-much-can-we-afford-to-forget-if-we-train-machines-to-remember?utm_medium=feed&utm_source=rss-feed,1554733596,3405556385,,archive
Open Questions about Generative Adversarial Networks,https://distill.pub/2019/gan-open-problems/,1555189877,3405556387,explorables|papers,unread
"Changing my Mind about AI, Universal Basic Income, and the Value of Data – ",https://theartofresearch.org/ai-ubi-and-data/,1559310908,3405556405,,archive
understanding_artificial_intelligence_ethics_and_safety.pdf,https://www.turing.ac.uk/sites/default/files/2019-06/understanding_artificial_intelligence_ethics_and_safety.pdf,1681411039,3405556409,,unread
"""Using i3 with multiple monitors - Fedora Magazine"" https://fedoramagazine.",https://fedoramagazine.org/using-i3-with-multiple-monitors/,1562097871,3405556411,faq,archive
The Best Book I've Read About AI Isn't in English,https://www.dampfkraft.com/best-book-ive-read-about-ai.html,1680650864,3405556413,,archive
Introduction to Constructive Logic,https://serokell.io/blog/logical-background,1733741273,3405556422,,reading
Jessy Lin •,http://jessylin.com/2019/04/17/impact-of-ideas/,1657670333,3405556428,,reading
